Time	ch1	ch2	ch3	ch4
0.0	23.7970488	36.4561719	44.1097812	259.006328
1.0	23.7919687	36.4368945	44.111324200000006	258.833484
2.0	23.8019668	36.4411992	44.1045703	258.949203
3.0	23.7853438	36.4499609	44.1066875	259.237391
4.0	23.7912578	36.4417695	44.1205195	259.110484
5.0	23.7860957	36.4483281	44.1028477	259.091141
6.0	23.7834473	36.451199200000005	44.104089800000004	259.256453
7.0	23.785148399999997	36.4367422	44.1050039	259.178516
8.0	23.7875117	36.4478477	44.110332	259.159328
9.0	23.7786367	36.4828945	44.1118867	259.32428100000004
10.0	23.7768437	36.449625	44.1112891	259.22225
11.0	23.7832637	36.448988299999996	44.0978125	259.180656
12.0	23.781375	36.4530703	44.1095469	259.259938
13.0	23.775582000000004	36.4228477	44.0963633	259.125984
14.0	23.7871211	36.4295703	44.096660199999995	259.398953
15.0	23.7844922	36.425347699999996	44.0938555	259.479766
16.0	23.7749512	36.4142813	44.1076914	259.297172
17.0	23.768074199999997	36.407347699999995	44.0964805	259.502484
18.0	23.7620215	36.4351992	44.0992969	259.55395300000004
19.0	23.763458999999997	36.4209531	44.094668	259.387422
20.0	23.7581582	36.4278555	44.083503900000004	259.596688
21.0	23.7640566	36.4410977	44.097183599999994	259.625672
22.0	23.7571406	36.4268047	44.094847699999995	259.513531
23.0	23.7505703	36.43524609999999	44.082960899999996	259.713812
24.0	23.7464102	36.4175859	44.0919102	259.781719
25.0	23.7457656	36.416917999999995	44.1007617	259.665078
26.0	23.7517012	36.4106328	44.0946367	259.928078
27.0	23.7516836	36.4301094	44.0862383	259.881797
28.0	23.748583999999997	36.405433599999995	44.0966484	259.803078
29.0	23.7505605	36.407082	44.0861875	259.906984
30.0	23.7457109	36.3902773	44.091535199999996	259.991719
31.0	23.746492200000002	36.394082000000004	44.087351600000005	259.8875
32.0	23.7487949	36.3984336	44.0771602	259.992078
33.0	23.749543	36.4070625	44.082511700000005	260.097687
34.0	23.747083999999997	36.397789100000004	44.0850234	259.916547
35.0	23.7527988	36.4137578	44.086793	260.092266
36.0	23.7555	36.407183599999996	44.095625	260.10445300000003
37.0	23.7513301	36.4227734	44.0970508	259.997891
38.0	23.7433848	36.4384102	44.085757799999996	260.100219
39.0	23.7607051	36.4310547	44.096543	260.125609
40.0	23.7591895	36.4201289	44.0899297	260.018859
41.0	23.7512695	36.394207	44.0919648	260.201203
42.0	23.758105500000003	36.414566400000005	44.1016367	260.135219
43.0	23.759228500000003	36.4109648	44.09330859999999	259.956
44.0	23.7633066	36.4133945	44.0954688	260.13325
45.0	23.7699473	36.415335899999995	44.096835899999995	260.134656
46.0	23.7761699	36.4101953	44.0916992	260.009437
47.0	23.7673652	36.4157344	44.0939453	260.198469
48.0	23.7743086	36.440972699999996	44.0975703	260.140219
49.0	23.7684883	36.4106836	44.0901484	259.947109
50.0	23.773439500000002	36.4284453	44.099550799999996	260.269359
51.0	23.3908594	36.0041602	43.9129219	252.435156
52.0	22.7355957	35.2386875	43.4777344	235.526
53.0	22.318502	34.7342578	43.1060977	230.933078
54.0	22.1071992	34.412441400000006	42.7986836	228.59307800000002
55.0	21.6898398	33.8694531	42.2869258	220.725359
56.0	21.305734400000002	33.3383828	41.7295234	214.32
57.0	20.933652300000002	32.8128281	41.086128900000006	209.051734
58.0	20.6052188	32.3424531	40.475480499999996	205.282172
59.0	20.3378105	31.9240566	39.883460899999996	202.47059399999998
60.0	20.1089434	31.5693203	39.3394531	200.574672
61.0	20.5764746	32.1155508	39.7330469	215.550984
62.0	20.958377	32.564363300000004	40.0667227	225.040969
63.0	21.2576504	32.9210742	40.342753900000005	231.979719
64.0	21.491894499999997	33.240156199999994	40.5855156	237.20382800000002
65.0	21.6941035	33.4615938	40.7942266	241.29814100000002
66.0	21.8667676	33.6752148	40.965378900000005	244.749109
67.0	22.0157715	33.8626797	41.1218594	247.705547
68.0	22.1448945	34.0453242	41.281308599999996	250.05325
69.0	22.2635625	34.1683906	41.4202227	252.00396899999998
70.0	22.3667539	34.3103555	41.533668	253.59307800000002
71.0	22.4656699	34.4195859	41.6506055	254.99332800000002
72.0	22.543625	34.545289100000005	41.7616797	256.136938
73.0	22.6279297	34.6462773	41.858691400000005	257.422125
74.0	22.701976600000002	34.7527031	41.9712578	258.286813
75.0	22.7614707	34.825605499999995	42.032628900000006	258.870094
76.0	22.8251621	34.9218359	42.1240156	259.516078
77.0	22.8841309	35.0091055	42.2037148	260.256781
78.0	22.9227715	35.0718672	42.2723203	260.616047
79.0	22.9752012	35.133003900000006	42.3521445	260.903672
80.0	23.0162539	35.1947109	42.4078672	261.294906
81.0	23.0514688	35.2486328	42.4719063	261.719281
82.0	23.0806348	35.2867344	42.535976600000005	261.863609
83.0	23.110353500000002	35.343668	42.586117200000004	261.892125
84.0	23.1450352	35.3854297	42.6318711	262.128813
85.0	23.174765599999997	35.45375	42.6721602	262.26025
86.0	23.1904766	35.4616094	42.7265	262.369031
87.0	23.207666	35.4766914	42.7662344	262.40871899999996
88.0	23.2351035	35.532210899999995	42.8070195	262.410375
89.0	23.2531543	35.563043	42.8460547	262.71643800000004
90.0	23.2735762	35.578808599999995	42.8777773	262.791
91.0	23.285605500000003	35.6074766	42.9196172	262.770094
92.0	23.3011152	35.6470938	42.9545156	262.600875
93.0	23.3214961	35.6690469	42.985796900000004	262.826563
94.0	23.331084	35.7032539	43.016652300000004	262.971375
95.0	23.349507799999998	35.7177578	43.063351600000004	262.795187
96.0	23.356877	35.738293	43.089832	262.69315600000004
97.0	23.376193400000002	35.76	43.1050469	262.642406
