Time	ch1 norm	ch2 norm	ch3 norm	ch4 norm
0.0	1.0009930956772155	1.0007611249882244	1.0002319842223881	0.9951472159271733
1.0	1.0007794076242102	1.0002319396265862	1.000266973240916	0.9944831193133264
2.0	1.0011999651964536	1.000350108271022	1.0001138220210624	0.994927731773451
3.0	1.000500739491229	1.0005906263586823	1.0001618315803797	0.9960350000324087
4.0	1.0007495045048067	1.000365763619344	1.0004754855688918	0.9955474013366282
5.0	1.0005323672243556	1.000545804242708	1.0000747603986933	0.9954730821771455
6.0	1.000420965590612	1.0006246190253967	1.0001029262184686	0.9961082395411748
7.0	1.0004925202346087	1.000227758827797	1.0001236543207601	0.9958087920752899
8.0	1.0005919294934162	1.000532616746068	1.000244474145528	0.9957350684526795
9.0	1.0002186137180529	1.0014946890967098	1.0002797284728806	0.9963688464764692
10.0	1.000143193415492	1.000581405542443	1.0002661773144412	0.9959768256854237
11.0	1.0004132426862338	1.0005639274427118	0.9999605823649343	0.9958170143263003
12.0	1.0003337968828616	1.0006759827326477	1.0002266712431003	0.9961216295153666
13.0	1.000090121582954	0.9998463398601312	0.9999277203521992	0.9956069550238529
14.0	1.0005754993929254	1.0000308824598672	0.9999344528470798	0.996655749246303
15.0	1.000464918002294	0.9999149675487248	0.9998708535598054	0.9969662468027978
16.0	1.0000635877698723	0.9996111829675036	1.0001845959845923	0.9962646889986
17.0	0.9997743153656834	0.9994208481908503	0.9999303779756414	0.997053533297402
18.0	0.9995197161100731	1.000185401818397	0.9999942425717407	0.9972512861185477
19.0	0.9995801827497446	0.9997943310526074	0.9998892777837547	0.9966114451451813
20.0	0.9993572112272605	0.999983809355707	0.9996361210101036	0.9974154813974855
21.0	0.9996053200463483	1.000347321986865	0.9999463214486982	0.997526842950422
22.0	0.9993144071559354	0.9999549637656372	0.999893352655193	0.997095977786613
23.0	0.9990380357036682	1.000186689273835	0.9996238079595133	0.997865492111194
24.0	0.9988630463000525	0.9997018977913943	0.9998267419993767	0.9981264025781844
25.0	0.99883593200723	0.9996835632181096	1.0000274583295756	0.9976782476342134
26.0	0.9990856055977931	0.9995110277187701	0.9998885680259584	0.9986887392303448
27.0	0.9990848652758049	1.0000456813346355	0.9996981261768317	0.9985109196046392
