x_fit_values	y_fit_1	y_fit_2	y_fit_3	y_fit_4
3.1999999999999966	34.27478158116411	31.394561601600603	32.68782634242606	38.49409205328412
3.2499999999999964	34.45113327375289	31.563740908533617	32.89110719092173	38.6257404233737
3.2999999999999963	34.625679141278766	31.73122810217881	33.09251972422474	38.75581878229881
3.349999999999996	34.79846462178166	31.89706536567278	33.29210903676091	38.884369221957755
3.399999999999996	34.96953335207338	32.06129321955036	33.48991848057087	39.01143209783297
3.4499999999999957	35.13892726445951	32.223950610652544	33.68598975716305	39.13704612497004
3.4999999999999956	35.306686676947166	32.385074995065956	33.880363003268506	39.26124846734456
3.5499999999999954	35.472850377463736	32.54470241557359	34.07307687098365	39.384074821159786
3.599999999999995	35.63745570256259	32.70286757405204	34.26416860274157	39.50555949256662
3.649999999999995	35.800538611047976	32.85960389921025	34.453674101512725	39.625735470251215
3.699999999999995	35.96213375291186	33.01494361002897	34.641627996599354	39.74463449329453
3.7499999999999947	36.122274533940214	33.168917775228024	34.82806370535596	39.86228711467121
3.7999999999999945	36.28099317631491	33.321556369059486	35.01301349113874	39.97872276072218
3.8499999999999943	36.43832077550832	33.472888323698996	35.19650851776088	40.09396978690547
3.899999999999994	36.59428735374279	33.62294157848389	35.378578900706806	40.20805553010355
3.949999999999994	36.748921910263185	33.77174312622585	35.55925375533726	40.32100635774082
3.999999999999994	36.90225246865069	33.919319056806486	35.73856124229779	40.432847713943616
4.049999999999994	37.05430612138638	34.06569459824719	35.91652861032563	40.543604162955454
4.099999999999993	37.20510907185645	34.21089415542878	36.09318223663419	40.65329943000237
4.149999999999993	37.354686673975095	34.35494134662241	36.268547665040145	40.76195643978723
4.199999999999993	37.503063469587346	34.49785903798022	36.44264964198466	40.86959735277746
4.249999999999993	37.65026322380092	34.63966937612248	36.61551215058894	40.97624359943727
4.299999999999993	37.79630895838478	34.78039381894751	36.78715844287298	41.08191591254353
4.3499999999999925	37.94122298336131	34.92005316478058	36.95761107025672	41.1866343577135
4.399999999999992	38.08502692690944	35.058667579969466	37.12689191245395	41.290418362262784
4.449999999999992	38.227741763687085	35.19625662502603	37.29502220486072	41.393286742502525
4.499999999999992	38.36938784167311	35.33283927940591	37.46202256453286	41.495257729576984
4.549999999999992	38.50998490762202	35.46843396501151	37.62791301483991	41.59634899393466
4.599999999999992	38.64955213121718	35.60305856849737	37.79271300887688	41.696577668519474
4.6499999999999915	38.78810812800265	35.73673046245114	37.95644145170902	41.79596037076209
4.699999999999991	38.92567098116779	35.86946652551858	38.11911672151977	41.89451322344558
4.749999999999991	39.06225826225359	36.00128316153545	38.280756689727	41.99225187451444
4.799999999999991	39.19788705084483	36.132196317725494	38.44137874012815	42.089191515890924
4.849999999999991	39.33257395330771	36.26222150201935	38.60099978713079	42.1853469013583
4.899999999999991	39.466335120628735	36.391373799545185	38.75963629312115	42.28073236356627
4.94999999999999	39.599186265406416	36.51966788833896	38.91730428501991	42.3753618302103
